Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri,nmo:hasMint^^uri,nmo:hasDenomination^^uri,nmo:hasStartDate^^xsd:gYear,nmo:hasEndDate^^xsd:gYear,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight,nmo:hasMinDiameter,nmo:hasMaxDiameter,nmo:hasDie^^id**1,1__nmo:hasAxis,nmo:hasObverse^^id**2,nmo:hasReverse^^id**3,2__nmo:hasContext,3__nmo:hasContext,2__nmo:hasWear,3__nmo:hasWear,2__nmo:hasCorrosion,3__nmo:hasCorrosion,2__nmo:hasLegend,3__nmo:hasLegend
afe:3411,,nm:ar,nm:rome,nm:denarius,143,144,,,2.97,,,,,,,,,,,,,,
afe:3412,,nm:ar,nm:rome,nm:denarius,145,161,,,3.01,,,,,,,,,,,,,,
afe:3413,,nm:ar,nm:rome,nm:denarius,145,161,,,3.14,,,,,,,,,,,,,,
afe:3414,,nm:ar,nm:rome,nm:denarius,148,149,,,2.96,,,,,,,,,,,,,,
afe:3415,,nm:ar,nm:rome,nm:denarius,148,149,,,3.24,,,,,,,,,,,,,,
afe:3416,,nm:ar,nm:rome,nm:denarius,148,149,,,3.1,,,,,,,,,,,,,,
afe:3417,,nm:ar,nm:rome,nm:denarius,150,151,,,3.1,,,,,,,,,,,,,,
afe:3418,,nm:ar,nm:rome,nm:denarius,152,153,,,3.08,,,,,,,,,,,,,,
afe:3419,,nm:ar,nm:rome,nm:denarius,154,155,,,2.74,,,,,,,,,,,,,,
afe:3420,,nm:ar,nm:rome,nm:denarius,157,158,,,3.51,,,,,,,,,,,,,,
afe:3421,,nm:ar,nm:rome,nm:denarius,158,159,,,2.98,,,,,,,,,,,,,,
afe:3422,,nm:ar,nm:rome,nm:denarius,159,160,,,3.26,,,,,,,,,,,,,,
afe:3423,,nm:ar,nm:rome,nm:denarius,159,160,,,3.17,,,,,,,,,,,,,,
afe:3424,,nm:ar,,nm:denarius,139,161,,,2.98,,,,,1,1,"AIITONI - NVS DIVS PPIPPXII III.
",AVCV OTAI,,,,,,
afe:3425,,nm:ar,nm:rome,nm:denarius,141,161,,,2.82,,,,,,,,,,,,,,
afe:3426,,nm:ar,nm:rome,nm:denarius,141,161,,,2.98,,,,,,,,,,,,,,
afe:3427,,nm:ar,nm:rome,nm:denarius,141,161,,,3.38,,,,,,,,,,,,,,
afe:3428,,nm:ar,nm:rome,nm:denarius,141,161,,,3.54,,,,,,,,,,,,,,
afe:3429,,nm:ar,nm:rome,nm:denarius,141,161,,,3.16,,,,,,,,,,,,,,
afe:3430,,nm:ar,nm:rome,nm:denarius,141,161,,,3.1,,,,,,,,,,,,,,
afe:3431,,nm:ar,nm:rome,nm:denarius,141,161,,,3.17,,,,,,,,,,,,,,
afe:3432,,nm:ar,nm:rome,nm:denarius,141,161,,,3.13,,,,,,,,,,,,,,
afe:3433,,nm:ar,,nm:denarius,141,161,,,3.23,,,,,1,1,"DIVA FAVSTINA
","XCDIIVS DNI T(?)DC (0) SII
",,,,,,
afe:3434,,nm:ar,,nm:denarius,141,161,,,3.14,,,,,1,1,"DIVA IIVSTIII
","DAIVS AVCVSTI
",,,,,,
afe:3435,,nm:ar,nm:rome,nm:denarius,145,145,,,3.1,,,,,,,,,,,,,,
afe:3436,,nm:ar,nm:rome,nm:denarius,145,145,,,3.27,,,,,,,,,,,,,,
afe:3437,,nm:ar,nm:rome,nm:denarius,153,153,,,2.99,,,,,,,,,,,,,,
afe:3438,,nm:ar,nm:rome,nm:denarius,159,160,,,3.13,,,,,,,,,,,,,,
afe:3439,,nm:ar,nm:rome,nm:denarius,147,150,,,3.05,,,,,,,,,,,,,,
afe:3440,,nm:ar,nm:rome,nm:denarius,147,150,,,3.06,,,,,,,,,,,,,,
afe:3441,,nm:ar,nm:rome,nm:denarius,154,157,,,3.29,,,,,,,,,,,,,,
afe:3442,,nm:ar,nm:rome,nm:denarius,163,164,,,3.2,,,,,,,,,,,,,,
afe:3443,,nm:ar,nm:rome,nm:denarius,169,170,,,3.33,,,,,,,,,,,,,,
afe:3444,,nm:ar,nm:rome,nm:denarius,169,170,,,2.77,,,,,,,,,,,,,,
afe:3445,,nm:ar,nm:rome,nm:denarius,170,171,,,3.1,,,,,,,,,,,,,,
afe:3446,,nm:ar,nm:rome,nm:denarius,173,174,,,2.95,,,,,,,,,,,,,,
afe:3447,,nm:ar,nm:rome,nm:denarius,175,176,,,3.29,,,,,,,,,,,,,,
afe:3448,,nm:ar,nm:rome,nm:denarius,161,161,,,2.79,,,,,,,,,,,,,,
afe:3449,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,2.67,,,,,,,,,,,,,,
afe:3450,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,3.01,,,,,,,,,,,,,,
afe:3451,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,2.81,,,,,,,,,,,,,,
afe:3452,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,2.56,,,,,,,,,,,,,,
afe:3453,gaz:2117972,nm:ar,nm:rome,nm:denarius,73,73,,,3.28,,,,,,,,,,,,,,
afe:3454,gaz:2117972,nm:ar,nm:rome,nm:denarius,74,74,,,2.77,,,,,,,,,,,,,,
afe:3455,gaz:2117972,nm:ar,nm:rome,nm:denarius,74,74,,,3.07,,,,,,,,,,,,,,
afe:3456,gaz:2117972,nm:ar,nm:rome,nm:denarius,74,74,,,3.2,,,,,,,,,,,,,,
afe:3457,gaz:2117972,nm:ar,nm:rome,nm:denarius,75,75,,,2.83,,,,,,,,,,,,,,
afe:3458,gaz:2117972,nm:ar,nm:rome,nm:denarius,75,75,,,2.83,,,,,,,,,,,,,,
afe:3459,gaz:2117972,nm:ar,nm:rome,nm:denarius,75,75,,,3.47,,,,,,,,,,,,,,
afe:3460,gaz:2117972,nm:ar,nm:rome,nm:denarius,75,75,,,3.23,,,,,,,,,,,,,,
afe:3461,gaz:2117972,nm:ar,nm:rome,nm:denarius,75,75,,,3.22,,,,,,,,,,,,,,
afe:3462,gaz:2117972,nm:ar,nm:rome,nm:denarius,75,75,,,3.22,,,,,,,,,,,,,,
