Coin^^uri,nmo:hasFindspot^^uri,nmo:hasMaterial^^uri**Ma,nmo:hasMint^^uri**Mi,nmo:hasDenomination^^uri**De,nmo:hasMintMark,nmo:hasCountermark,nmo:hasWeight**We,nmo:hasMinDiameter**DMi,nmo:hasMaxDiameter**DMa,nmo:hasDie^^blank**Di,Di__nmo:hasAxis,nmo:hasObverse^^blank**Ob,nmo:hasReverse^^blank**Re,Ob__rdfs:comment,Re__rdfs:comment,Ob__nmo:hasWear**WF,Re__nmo:hasWear**WB,Ob__nmo:hasCorrosion**CF,Re__nmo:hasCorrosion**CB,Ob__nmo:hasLegend,Re__nmo:hasLegend,Ma__hasCertainty^^certainty,Mi__hasCertainty^^certainty,De__hasCertainty^^certainty,We__hasCertainty^^certainty,DMi__hasCertainty^^certainty,DMa__hasCertainty^^certainty,Di__hasCertainty^^certainty,WF__hasCertainty^^certainty,WB__hasCertainty^^certainty,CF__hasCertainty^^certainty,CB__hasCertainty^^certainty
afe:11921,,nm:ae,nm:rome,nm:sestertius,,,24.64,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11922,,nm:ar,nm:rome,nm:antoninianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11923,,nm:ar,nm:nicomedia,nm:siliqua,-/-//SMN,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11924,,nm:ae,nm:rome,nm:dupondius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11925,,nm:ar,,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11926,,nm:ar,nm:rome,nm:antoninianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11927,,nm:ae,nm:rome,nm:sestertius,,,18.17,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11928,,nm:ae,nm:rome,nm:as,,,6.78,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11929,,nm:ae,nm:rome,nm:sestertius,,,25.59,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11930,,nm:ar,nm:rome,nm:denarius,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11931,,nm:ae,nm:rome,nm:sestertius,,,15.34,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11932,,nm:ae,nm:lugdunum,nm:sestertius,,,21.95,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11933,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11934,,nm:ae,nm:rome,nm:sestertius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11935,,nm:ae,nm:rome,nm:sestertius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11936,,nm:ae,nm:treveri,nm:follis,-/-//PTR,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11937,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11938,,nm:av,nm:mediolanum; nm:viminacium,nm:aureus,,,4.5,21.0,21.0,1,12.0,,,,,,,,,,,,0.46; 0.54,,,,,,,,,
afe:11939,,nm:ar,nm:rome,nm:antoninianus,,,3.29,18.6,18.6,1,5.0,,,,,,,,,,,,0.33,,,,,,,,,
afe:11940,,nm:av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11941,,nm:ae,nm:rome,nm:sestertius,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11942,,nm:ar,nm:rome,nm:antoninianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11943,,nm:ar,,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11944,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11945,,nm:ae,,nm:follis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11946,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11947,,nm:ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11948,,nm:ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11949,,nm:ar,,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11950,,nm:ar,,nm:antoninianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11951,,nm:ar,nm:rome,nm:denarius,,,3.56,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11952,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11953,,nm:ae,nm:rome,nm:sestertius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11954,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11955,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11956,,nm:ar,nm:rome,nm:denarius,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11957,,nm:ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11958,,nm:av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11959,,nm:ae,nm:heracleia_thracica,,(Gamma)/-//SMHA,,6.09,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11960,,nm:ar,nm:rome,nm:denarius,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11961,,nm:ae,nm:rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11962,,nm:av,nm:rome,nm:aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afe:11964,gaz:2052958,nm:av,nm:treveri,nm:solidus,-/-//TR,,5.92,28.84,28.84,1,7.0,,,,,,,,,,,,,,,,,,,,,
afe:11965,gaz:2052958,nm:av,nm:antiocheia_syria,nm:solidus,-/-//ANT(Delta)*,,4.43,21.59,21.59,1,11.0,,,,,,,,,,,,,,,,,,,,,
afe:11966,gaz:2052958,nm:av,nm:constantinople,nm:solidus,-/-//CONOB,,4.36,21.25,21.25,1,12.0,,,,,,,,,,,,,,,,,,,,,
